A11_grad_r,B11_grad_r,dx
4007.1474818327065,1029.4697293856639,1.5
3989.7044292312085,1039.4335522931708,2.0
3981.9921218640347,1047.2353830083362,2.5
3978.3865023936023,1053.6379604739043,3.0
3976.548238673677,1059.0218173559606,3.5
3975.5218841128158,1063.6820198865148,4.0
3974.8092046532292,1067.7706392740865,4.5
3974.1775393201287,1071.3912684083812,5.0
3973.5145889381542,1074.6076113280442,5.5
3972.7768522899637,1077.4725821131658,6.0
3971.9491804427703,1080.0253734890775,6.5
3971.0309487539257,1082.295958024149,7.0
3970.0289339097494,1084.3079341502698,7.5
3968.9535890143748,1086.080402986607,8.0
