dx_r_ratio,kr,grad_r
1.5,0.5,119.27710759400487
1.5,1.5,-181.2359672888881
1.5,2.5,55.07536876650025
1.5,3.5,95.46263966383685
1.5,4.5,244.16204414731112
1.5,5.5,194.2543529205543
1.5,6.5,420.46034740762593
1.5,7.5,188.24387905269043
1.5,8.5,239.7989470721335
1.5,9.5,194.22791549824638
2.0,0.5,-143.3163214825195
2.0,1.5,-142.59004642315745
2.0,2.5,-27.922026299890376
2.0,3.5,90.3622481949219
2.0,4.5,169.88087478715613
2.0,5.5,115.63998627323588
2.0,6.5,-18.827068616541055
2.0,7.5,118.22507512161002
2.0,8.5,124.8320330439326
2.0,9.5,150.35041939591991
2.5,0.5,-379.19487199889994
2.5,1.5,-118.7183424632575
2.5,2.5,50.64642054549495
2.5,3.5,119.93402185771936
2.5,4.5,74.31644296702837
2.5,5.5,61.35840702085676
2.5,6.5,249.52459947889622
2.5,7.5,88.48763152603877
2.5,8.5,64.9376360693503
2.5,9.5,124.57671174588788
3.0,0.5,-569.2134484398235
3.0,1.5,-64.89117051747007
3.0,2.5,67.93753822530948
3.0,3.5,26.02490438863913
3.0,4.5,78.0863586043337
3.0,5.5,80.23845380987835
3.0,6.5,-113.05009689871137
3.0,7.5,29.520305560078228
3.0,8.5,85.48656343684833
3.0,9.5,39.70382742077547
3.5,0.5,-695.4523710589054
3.5,1.5,130.37830433174264
3.5,2.5,15.374049553219095
3.5,3.5,-15.46866926256667
3.5,4.5,88.11874289418932
3.5,5.5,3.453154776541055
3.5,6.5,218.11173043696704
3.5,7.5,79.67066740810127
3.5,8.5,33.02415406908941
3.5,9.5,5.104444877130192
4.0,0.5,-750.8782340382696
4.0,1.5,163.00397773978415
4.0,2.5,-15.001093279960969
4.0,3.5,31.256598637896673
4.0,4.5,21.911439799303338
4.0,5.5,44.28139065707153
4.0,6.5,-155.0749951353534
4.0,7.5,-7.579736577417322
4.0,8.5,10.381977836067122
4.0,9.5,49.58565196985073
4.5,0.5,-741.7605667079155
4.5,1.5,122.88690192154974
4.5,2.5,-42.734113765729404
4.5,3.5,29.566484368252333
4.5,4.5,28.926211936640314
4.5,5.5,13.593785302263917
4.5,6.5,206.2399657123404
4.5,7.5,34.0043233949952
4.5,8.5,48.67604279201162
4.5,9.5,55.682153896526145
5.0,0.5,-682.6701678216098
5.0,1.5,66.82109163294604
5.0,2.5,23.316940972185137
5.0,3.5,-10.224749225223078
5.0,4.5,38.031958916943026
5.0,5.5,8.820150891594004
5.0,6.5,-168.61217328311332
5.0,7.5,18.447859109355498
5.0,8.5,10.600514850166922
5.0,9.5,-2.806059302120886
5.5,0.5,-589.768511704987
5.5,1.5,-67.64347970978696
5.5,2.5,43.08237687181281
5.5,3.5,4.787300657618971
5.5,4.5,-8.794815129051344
5.5,5.5,22.201533816975097
5.5,6.5,193.39565422941027
5.5,7.5,-5.382811474345617
5.5,8.5,-5.286094861763633
5.5,9.5,-18.05874302636564
6.0,0.5,-475.92677284618526
6.0,1.5,-136.3027549374827
6.0,2.5,10.479663672098468
6.0,3.5,34.41189236982985
6.0,4.5,7.8689441768254085
6.0,5.5,-6.833901519036026
6.0,6.5,-166.1299427106832
6.0,7.5,45.47258657323319
6.0,8.5,34.23179423768413
6.0,9.5,29.456842102706986
6.5,0.5,-349.2885253679098
6.5,1.5,-112.50263992348965
6.5,2.5,-21.391177104837823
6.5,3.5,0.6645546124272386
6.5,4.5,4.795836689230125
6.5,5.5,27.284985537906834
6.5,6.5,176.25928803975737
6.5,7.5,-30.497308617165295
6.5,8.5,4.164465890112537
6.5,9.5,38.50450640079687
7.0,0.5,-214.37267812082348
7.0,1.5,-63.25135077164208
7.0,2.5,-37.86529574418498
7.0,3.5,-27.11130252469114
7.0,4.5,-22.681912411957324
7.0,5.5,-16.51626707911236
7.0,6.5,-153.48554735010794
7.0,7.5,29.929726430610714
7.0,8.5,-11.70125519959866
7.0,9.5,-10.39743422916813
7.5,0.5,-74.26712824507405
7.5,1.5,38.21311684686039
7.5,2.5,15.935135469430065
7.5,3.5,12.442635751558555
7.5,4.5,5.996192556140702
7.5,5.5,22.28109937777233
7.5,6.5,154.74104405348373
7.5,7.5,-0.7941766658668339
7.5,8.5,26.408631278478907
7.5,9.5,-22.89335861008065
8.0,0.5,67.13985680843666
8.0,1.5,118.1124158602191
8.0,2.5,34.55600685424233
8.0,3.5,26.35946669653191
8.0,4.5,-3.200285453418317
8.0,5.5,-4.904183744247557
8.0,6.5,-133.99152376204387
8.0,7.5,-5.134298139231292
8.0,8.5,2.8599683077906857
8.0,9.5,20.765048613326773
