dx_r_ratio,kr,grad_r
1.5,0.5,2148.897305872386
1.5,1.5,601.3865979824682
1.5,2.5,87.23781563278317
1.5,3.5,287.17695035444285
1.5,4.5,-94.55690314362784
1.5,5.5,-135.1981339495328
1.5,6.5,-669.716498614054
1.5,7.5,-229.03630661243017
1.5,8.5,34.90182478463851
1.5,9.5,-9.640899466389499
2.0,0.5,2050.829409084385
2.0,1.5,-37.02691351842316
2.0,2.5,-237.71592359026442
2.0,3.5,-157.73306010226952
2.0,4.5,-205.2625462411973
2.0,5.5,60.49079266127967
2.0,6.5,795.7868294333488
2.0,7.5,202.94159232701762
2.0,8.5,-268.2659791640367
2.0,9.5,259.1413217798421
2.5,0.5,1810.9574054636273
2.5,1.5,-274.6927710789495
2.5,2.5,-186.2944427963921
2.5,3.5,1.4175173910325611
2.5,4.5,132.54584787335654
2.5,5.5,-189.75976470975888
2.5,6.5,-276.2469385144127
2.5,7.5,-188.29967010253858
2.5,8.5,177.72965754966015
2.5,9.5,-222.7828745937868
3.0,0.5,1442.2883692703724
3.0,1.5,-693.2009314627353
3.0,2.5,-94.03908492333221
3.0,3.5,133.4692515392005
3.0,4.5,-99.67873775496369
3.0,5.5,72.36323967029853
3.0,6.5,226.12183583651336
3.0,7.5,208.4666049788844
3.0,8.5,74.39606593433126
3.0,9.5,-371.987842981024
3.5,0.5,985.1842981921361
3.5,1.5,-622.3437195918061
3.5,2.5,278.07826876507534
3.5,3.5,-175.74193264770332
3.5,4.5,66.6634256689801
3.5,5.5,89.638767607528
3.5,6.5,-4.283180689459343
3.5,7.5,-39.33424063848238
3.5,8.5,-242.46725514475733
3.5,9.5,192.42695940604128
4.0,0.5,497.584365264359
4.0,1.5,-43.81711047219608
4.0,2.5,113.61006112731953
4.0,3.5,-121.91893507245643
4.0,4.5,172.10784232895156
4.0,5.5,-148.73816133974321
4.0,6.5,-86.87453808222928
4.0,7.5,-201.7503883084865
4.0,8.5,191.7851620952888
4.0,9.5,318.68005220786665
4.5,0.5,34.33045105308986
4.5,1.5,258.4989785621093
4.5,2.5,-135.42198747090424
4.5,3.5,195.31562701974025
4.5,4.5,-12.97539085934838
4.5,5.5,193.19618682771403
4.5,6.5,225.20807038167476
4.5,7.5,295.58957717449016
4.5,8.5,75.2584480716886
4.5,9.5,-215.13538477450527
5.0,0.5,-368.1024812381156
5.0,1.5,527.0342015083042
5.0,2.5,-160.21842068880164
5.0,3.5,112.57857402328482
5.0,4.5,216.00393207165885
5.0,5.5,-162.67814303647805
5.0,6.5,-332.85378436581595
5.0,7.5,-285.84694637965026
5.0,8.5,-222.47549966643516
5.0,9.5,-311.9067966405193
5.5,0.5,-694.666584896585
5.5,1.5,573.7055427812386
5.5,2.5,-50.760981230068865
5.5,3.5,-170.1149850431858
5.5,4.5,141.6368845203364
5.5,5.5,123.99289755583875
5.5,6.5,447.186287338221
5.5,7.5,263.67133406733933
5.5,8.5,171.8053756051805
5.5,9.5,197.6921486558332
6.0,0.5,-945.3446808793058
6.0,1.5,147.77505769483787
6.0,2.5,226.810708901696
6.0,3.5,-59.81547812676894
6.0,4.5,-31.587722819123996
6.0,5.5,-93.48819243093075
6.0,6.5,-557.97126317348
6.0,7.5,-146.99363962099625
6.0,8.5,82.53258791264736
6.0,9.5,289.3375269156004
6.5,0.5,-1125.9697794106448
6.5,1.5,-186.07817601175987
6.5,2.5,98.08791774034057
6.5,3.5,139.99853652306308
6.5,4.5,167.02074566672235
6.5,5.5,46.39331272116857
6.5,6.5,659.003115113881
6.5,7.5,-76.32765986938439
6.5,8.5,-207.25420854942186
6.5,9.5,-187.38969096265527
7.0,0.5,-1241.2268034495837
7.0,1.5,-420.6719588641554
7.0,2.5,-104.31993591573018
7.0,3.5,-22.67806943409562
7.0,4.5,17.446191608339745
7.0,5.5,23.89813630170103
7.0,6.5,-762.8101786622942
7.0,7.5,231.52801422303696
7.0,8.5,142.87393185905765
7.0,9.5,-279.56459526804093
7.5,0.5,-1291.4346751525616
7.5,1.5,-512.4649567228139
7.5,2.5,-152.21875656396594
7.5,3.5,-116.31748721623802
7.5,4.5,-83.13358459256926
7.5,5.5,-99.39358508683043
7.5,6.5,849.9501689971548
7.5,7.5,-273.4205164980708
7.5,8.5,93.34750832393573
7.5,9.5,168.80501998669874
8.0,0.5,-1272.8978112376603
8.0,1.5,-213.0948919689115
8.0,2.5,-39.510478840609835
8.0,3.5,96.67426697683658
8.0,4.5,69.34259693860652
8.0,5.5,136.37063372214453
8.0,6.5,-939.8408394204224
8.0,7.5,268.69851093682206
8.0,8.5,-195.0282612595241
8.0,9.5,268.0573444894798
