A12_grad_r,B12_grad_r,dxs
-262.11980697923815,-510.3008191219449,1.5
-67.74826241085492,-764.4790272232704,2.0
57.275674145954895,-552.7233416588697,2.5
90.58721485676796,-346.94013594070134,3.0
104.48652673661775,-233.7153234725086,3.5
128.08448172488886,-134.2366593125624,4.0
150.85225666846813,44.370964032883265,4.5
127.71551497724641,294.8431334647771,5.0
48.51736347685047,431.7943849947338,5.5
-24.84146640905398,385.9286855529539,6.0
-64.18459610580499,281.20286267998057,6.5
-86.89301484823713,185.9238019706117,7.0
-106.53135243373899,80.36866805405474,7.5
-115.03663533863927,-72.21342457143102,8.0
