A12_grad_r,B12_grad_r,dxs
-263.56909244226426,-512.3100927127157,1.5
-68.23536188250716,-769.5696605510977,2.0
57.792611773142184,-556.6393583790361,2.5
91.32914455782215,-349.30570803712266,3.0
105.18987094713927,-235.36470448049823,3.5
128.7763384098865,-135.58909684761318,4.0
151.63100703829798,43.47307468765271,4.5
128.51730524903306,295.0077621883093,5.0
49.04157184162374,433.0131266126915,5.5
-24.69069532196315,387.34503311075844,6.0
-64.26491713759877,282.35533549741143,6.5
-87.10639296024522,186.8188145313114,7.0
-106.87149897327349,81.0101585418973,7.5
-115.50329168795358,-72.06255323768752,8.0
